Comment;Designator;Footprint;LCSC Part Number;Footprint KiCad;Amount;Bezeichnung
ESP32-C3-WROOM-02;U1;;;ESP32-C3-WROOM-02;1;ESP32-C3-WROOM-02
;SW1,SW6,SW4,SW3,SW2,SW5;;;SW_SPST_PTS645;6;PTS645
C1uF 10V;C10,C14,C9,C16,C13,C7,C15,C3,C17,C1,C8,C11;0402;C14445;C_0402_1005Metric;12;C1uF
;R3,R2;0402;;R_0402_1005Metric;2;R5.1k
;R10,R4,R5,R13,R1,R12;0402;;R_0402_1005Metric;6;R10K
RGB Diode with IC builtin;D19,D7,D6,D11,D5,D14,D8,D12,D20,D18,D9,D17,D21,D10,D4,D13,D16,D15;SMD5050;C114587;LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm;18;SK6812
;D1;SMA;C168859;D_SMA;1;SS14
;R11;0402;;R_0402_1005Metric;1;R330
;Q2;SOT-23;;SOT-23;1;BSS138
;R6,R7,R9,R8;0402;;R_0402_1005Metric;4;R100K
PH_S2B-PH 2 pin connector;J2;;C173752;JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal;1;S2B-PH-K-S
;Q1;SOT-23;;SOT-23;1;FDN340P
;U3;TSOT-23-6;;TSOT-23-6;1;TP4057
C10uF 10V;C2,C5;0402;C77000;C_0402_1005Metric;2;C10uF
;SW7;;;SW_Slide_SPDT_Angled_CK_OS102011MA1Q;1;SLW-1277545-3A-RA-N-D
;U2;SOT-23-5;;SOT-23-5;1;TLV75533PDYDR
LED Blue 20mA;D3;0402;C130724;LED_0402_1005Metric;1;150040BS73220
;J1;;;USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal;1;USB4105
;R15;0402;;R_0402_1005Metric;1;R2K
C2.2uF 10V;C4;0402;C60078;C_0402_1005Metric;1;C2.2uF
;R14;0402;;R_0402_1005Metric;1;R470
LED Green 20mA;D2;0402;C965793;LED_0402_1005Metric;1;150040VS73220
