Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C1uF","C_0402_1005Metric",37.100000,-37.900000,-55.000000,top
"C2","C10uF","C_0402_1005Metric",54.100000,-76.400000,90.000000,top
"C3","C1uF","C_0402_1005Metric",61.620000,-75.900000,0.000000,top
"C4","C2.2uF","C_0402_1005Metric",77.120000,-78.900000,180.000000,top
"C5","C10uF","C_0402_1005Metric",78.120000,-73.400000,0.000000,top
"C7","C1uF","C_0402_1005Metric",92.174617,-68.762149,170.000000,top
"C8","C1uF","C_0402_1005Metric",82.598053,-85.349244,130.000000,top
"C9","C1uF","C_0402_1005Metric",64.600000,-91.900000,90.000000,top
"C10","C1uF","C_0402_1005Metric",46.601947,-85.349244,50.000000,top
"C11","C1uF","C_0402_1005Metric",37.025383,-68.762149,10.000000,top
"C13","C1uF","C_0402_1005Metric",64.620000,-35.400000,-90.000000,top
"C14","C1uF","C_0402_1005Metric",92.174617,-59.037851,-170.000000,top
"C15","C1uF","C_0402_1005Metric",46.601947,-42.450756,-50.000000,top
"C16","C1uF","C_0402_1005Metric",37.025383,-59.037851,-10.000000,top
"C17","C1uF","C_0402_1005Metric",82.598053,-42.450756,-130.000000,top
"D1","SS14","D_SMA",65.600000,-79.900000,90.000000,top
"D2","150040VS73220","LED_0402_1005Metric",98.600000,-39.900000,45.000000,top
"D3","150040BS73220","LED_0402_1005Metric",86.600000,-30.400000,45.000000,top
"D4","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",36.600000,-63.900000,-90.000000,top
"D5","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",38.288607,-73.476564,-70.000000,top
"D6","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",43.150756,-81.898053,-50.000000,top
"D7","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",50.600000,-88.148711,-30.000000,top
"D8","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",59.737851,-91.474617,-10.000000,top
